logical_asset_id,CN_LARGE,CN_SMALL,CN_GROWTH,CN_DIVIDEND,SEMI,HEALTHCARE,CONSUMER,COAL,NASDAQ100,SP500,HSTECH,HK_BROAD,GOLD,BOND_LONG,BOND_MED
CN_LARGE,1.0,0.772283737665018,0.8641144988423239,0.6215672328893691,0.6350429737198213,0.7131862755376551,0.7243918375471337,0.33350159457182804,0.11794890464475771,0.09971946939716142,0.6054372850301845,0.5973660169594092,0.1540193603386131,-0.17643269839994746,-0.11067189315555732
CN_SMALL,0.772283737665018,1.0,0.8269943121163628,0.5277365818467726,0.7425768232392936,0.6414889074198402,0.43508702798416854,0.298970800533358,0.1182756103824145,0.10982672081002924,0.4552677885672905,0.40191977827478204,0.16139320099957036,-0.140869730774194,-0.08437900095688759
CN_GROWTH,0.8641144988423239,0.8269943121163628,1.0,0.3666282258065553,0.7394959205425058,0.7126022110283038,0.5264978597620326,0.15911206007019538,0.12748523290032737,0.1042265231437016,0.4827828668349323,0.408103488798677,0.08777737413982803,-0.14885404069114253,-0.09585047080862528
CN_DIVIDEND,0.6215672328893691,0.5277365818467726,0.3666282258065553,1.0,0.19096129409722915,0.42147330448445647,0.4655328795856384,0.7354949790390516,0.010831090144279997,0.01604000958217115,0.4034027282918047,0.4730585179817837,0.15767845735835048,-0.14609598838140736,-0.09246290136791295
SEMI,0.6350429737198213,0.7425768232392936,0.7394959205425058,0.19096129409722915,1.0,0.4549355551365777,0.25189145476872976,0.05171166934314471,0.1262284758043438,0.11103999853005339,0.35303129068247013,0.25368014433548647,0.10001496724031031,-0.12252486226517621,-0.08077689628874564
HEALTHCARE,0.7131862755376551,0.6414889074198402,0.7126022110283038,0.42147330448445647,0.4549355551365777,1.0,0.6525156092844363,0.13602239538902208,0.0685730539622179,0.05675253101613727,0.4403369663316963,0.40472060449737285,0.09648799600386887,-0.11622261890246909,-0.08086421755109868
CONSUMER,0.7243918375471337,0.43508702798416854,0.5264978597620326,0.4655328795856384,0.25189145476872976,0.6525156092844363,1.0,0.20906528561714893,0.06260476996786137,0.057538992910175876,0.47065241210206743,0.4812228295018827,0.08536620639165313,-0.14793691887677102,-0.10387603965920107
COAL,0.33350159457182804,0.298970800533358,0.15911206007019538,0.7354949790390516,0.05171166934314471,0.13602239538902208,0.20906528561714893,1.0,0.010659505932779501,0.017724825799465695,0.19761471125374366,0.259031451038259,0.09077477270209591,-0.144601636362344,-0.09139925134110376
NASDAQ100,0.11794890464475771,0.1182756103824145,0.12748523290032737,0.010831090144279997,0.1262284758043438,0.0685730539622179,0.06260476996786137,0.010659505932779501,1.0,0.938416266376445,0.1420715583376867,0.10924526998266147,0.0033241171659110966,-0.013659865475287834,-0.015813601478038754
SP500,0.09971946939716142,0.10982672081002924,0.1042265231437016,0.01604000958217115,0.11103999853005339,0.05675253101613727,0.057538992910175876,0.017724825799465695,0.938416266376445,1.0,0.12384543393848381,0.10815864635804234,0.013669041207771685,-0.023546048826150547,-0.02555121149605891
HSTECH,0.6054372850301845,0.4552677885672905,0.4827828668349323,0.4034027282918047,0.35303129068247013,0.4403369663316963,0.47065241210206743,0.19761471125374366,0.1420715583376867,0.12384543393848381,1.0,0.9095998211186712,0.08638340775827334,-0.1757499042461553,-0.139491169401918
HK_BROAD,0.5973660169594092,0.40191977827478204,0.408103488798677,0.4730585179817837,0.25368014433548647,0.40472060449737285,0.4812228295018827,0.259031451038259,0.10924526998266147,0.10815864635804234,0.9095998211186712,1.0,0.12018264546946722,-0.1867558601986339,-0.1417203596226514
GOLD,0.1540193603386131,0.16139320099957036,0.08777737413982803,0.15767845735835048,0.10001496724031031,0.09648799600386887,0.08536620639165313,0.09077477270209591,0.0033241171659110966,0.013669041207771685,0.08638340775827334,0.12018264546946722,1.0,0.044515575306866194,0.042733591198214065
BOND_LONG,-0.17643269839994746,-0.140869730774194,-0.14885404069114253,-0.14609598838140736,-0.12252486226517621,-0.11622261890246909,-0.14793691887677102,-0.144601636362344,-0.013659865475287834,-0.023546048826150547,-0.1757499042461553,-0.1867558601986339,0.044515575306866194,1.0,0.8814376496146198
BOND_MED,-0.11067189315555732,-0.08437900095688759,-0.09585047080862528,-0.09246290136791295,-0.08077689628874564,-0.08086421755109868,-0.10387603965920107,-0.09139925134110376,-0.015813601478038754,-0.02555121149605891,-0.139491169401918,-0.1417203596226514,0.042733591198214065,0.8814376496146198,1.0
