logical_asset_id,CN_LARGE,CN_SMALL,CN_GROWTH,CN_DIVIDEND,SEMI,HEALTHCARE,CONSUMER,COAL,NASDAQ100,SP500,HSTECH,HK_BROAD,GOLD,BOND_LONG,BOND_MED
CN_LARGE,1.0,0.7389416846800171,0.840912267266371,0.5799099503727562,0.5591419915263562,0.6778341023274407,0.7345055151985369,0.3386785242869248,0.23818732984260604,0.20931657579650736,0.6751157567673644,0.647682235088272,0.06057205784878362,-0.27551112499574537,-0.21344058242685562
CN_SMALL,0.7389416846800171,1.0,0.7917764014761731,0.4242607456396418,0.6967702552895156,0.6327471591692078,0.3904228091082795,0.2743891718588874,0.25404470012477137,0.22990917375898393,0.5053082038880452,0.4478288941778032,0.12477050686695919,-0.22161448443836665,-0.173177105304928
CN_GROWTH,0.840912267266371,0.7917764014761731,1.0,0.25166877770496443,0.6914541404668855,0.7215900659755766,0.5264839192377516,0.12315624093797323,0.2739654113029748,0.22350973651480727,0.57421524614026,0.46693811116427464,0.039128178584470236,-0.2204063799601944,-0.15610564068916424
CN_DIVIDEND,0.5799099503727562,0.4242607456396418,0.25166877770496443,1.0,0.03977070924660064,0.33755856956274455,0.4763437584359021,0.7549101782392702,0.07707879776176721,0.11181732827721887,0.39092942121532814,0.5025442321910525,0.10600342347060836,-0.18697500014293886,-0.16011719772794006
SEMI,0.5591419915263562,0.6967702552895156,0.6914541404668855,0.03977070924660064,1.0,0.4094915825069593,0.1439014569395761,-0.03348425463461648,0.20766515083385437,0.17342884374701073,0.31292150795046225,0.20539163302231558,0.051631386474467696,-0.1492210490796541,-0.12064879358929653
HEALTHCARE,0.6778341023274407,0.6327471591692078,0.7215900659755766,0.33755856956274455,0.4094915825069593,1.0,0.6358119365009174,0.15628262052464809,0.18779924150266933,0.13971661133865498,0.5109488201939034,0.42228723928747475,0.015208615772139875,-0.3120406829414194,-0.2534223673109821
CONSUMER,0.7345055151985369,0.3904228091082795,0.5264839192377516,0.4763437584359021,0.1439014569395761,0.6358119365009174,1.0,0.27084265070975655,0.08120804188945133,0.050133451356475546,0.5474935363553494,0.523034059961386,-0.030118517215916876,-0.31862366232419803,-0.2477321215624515
COAL,0.3386785242869248,0.2743891718588874,0.12315624093797323,0.7549101782392702,-0.03348425463461648,0.15628262052464809,0.27084265070975655,1.0,0.012919662449669892,0.038037832253226635,0.19673480121232412,0.26608617332796813,0.08192920039372988,-0.13183483006241808,-0.09351721103294919
NASDAQ100,0.23818732984260604,0.25404470012477137,0.2739654113029748,0.07707879776176721,0.20766515083385437,0.18779924150266933,0.08120804188945133,0.012919662449669892,1.0,0.9364190341857814,0.28517620803787114,0.2817906401659674,0.11558486804706931,-0.002515365455689091,-0.038566169502556244
SP500,0.20931657579650736,0.22990917375898393,0.22350973651480727,0.11181732827721887,0.17342884374701073,0.13971661133865498,0.050133451356475546,0.038037832253226635,0.9364190341857814,1.0,0.24135579425998652,0.28865216882117617,0.08652513131928413,0.0013401682818644917,-0.029428596210833855
HSTECH,0.6751157567673644,0.5053082038880452,0.57421524614026,0.39092942121532814,0.31292150795046225,0.5109488201939034,0.5474935363553494,0.19673480121232412,0.28517620803787114,0.24135579425998652,1.0,0.895247770830967,0.07666592466798915,-0.2527934066604515,-0.23866209127069193
HK_BROAD,0.647682235088272,0.4478288941778032,0.46693811116427464,0.5025442321910525,0.20539163302231558,0.42228723928747475,0.523034059961386,0.26608617332796813,0.2817906401659674,0.28865216882117617,0.895247770830967,1.0,0.062463729632132294,-0.254420334263444,-0.22870567509089398
GOLD,0.06057205784878362,0.12477050686695919,0.039128178584470236,0.10600342347060836,0.051631386474467696,0.015208615772139875,-0.030118517215916876,0.08192920039372988,0.11558486804706931,0.08652513131928413,0.07666592466798915,0.062463729632132294,1.0,0.10574061169962048,0.08881842765637013
BOND_LONG,-0.27551112499574537,-0.22161448443836665,-0.2204063799601944,-0.18697500014293886,-0.1492210490796541,-0.3120406829414194,-0.31862366232419803,-0.13183483006241808,-0.002515365455689091,0.0013401682818644917,-0.2527934066604515,-0.254420334263444,0.10574061169962048,1.0,0.9058223280842348
BOND_MED,-0.21344058242685562,-0.173177105304928,-0.15610564068916424,-0.16011719772794006,-0.12064879358929653,-0.2534223673109821,-0.2477321215624515,-0.09351721103294919,-0.038566169502556244,-0.029428596210833855,-0.23866209127069193,-0.22870567509089398,0.08881842765637013,0.9058223280842348,1.0
